country,2020
Afghanistan,1800
Albania,13200
Algeria,14000
Andorra,55000
Angola,5440
Antigua and Barbuda,25000
Argentina,17100
Armenia,10200
Australia,45800
Austria,47300
Azerbaijan,16400
Bahamas,28300
Bahrain,42000
Bangladesh,4400
Barbados,16700
Belarus,18200
Belgium,43900
Belize,7780
Benin,2310
Bhutan,10200
Bolivia,7320
Bosnia and Herzegovina,13500
Botswana,17200
Brazil,14500
Brunei,75100
Bulgaria,20900
Burkina Faso,1860
Burundi,628
Cambodia,4290
Cameroon,3460
Canada,44500
Cape Verde,7170
Central African Republic,817
Chad,1790
Chile,23300
China,18100
Colombia,14000
Comoros,2520
"Congo, Dem. Rep.",845
"Congo, Rep.",5110
Costa Rica,16000
Cote d'Ivoire,4090
Croatia,25300
Cuba,8370
Cyprus,35100
Czech Republic,35000
Denmark,48900
Djibouti,3710
Dominica,10900
Dominican Republic,17100
Ecuador,10100
Egypt,11800
El Salvador,7610
Equatorial Guinea,17700
Eritrea,1420
Estonia,32900
Eswatini,9510
Ethiopia,2000
Fiji,10200
Finland,42900
France,40400
Gabon,16500
Gambia,1620
Georgia,11300
Germany,46700
Ghana,4590
Greece,26300
Grenada,14700
Guatemala,7720
Guinea,2500
Guinea-Bissau,1680
Guyana,8200
Haiti,1640
Honduras,4720
Hungary,30600
Iceland,47700
India,7630
Indonesia,12500
Iran,15900
Iraq,16000
Ireland,74100
Israel,34400
Italy,36100
Jamaica,8350
Japan,40100
Jordan,8440
Kazakhstan,26000
Kenya,3260
Kiribati,2060
Kuwait,64300
Kyrgyz Republic,3550
Lao,7290
Latvia,28100
Lebanon,11900
Lesotho,2900
Liberia,1130
Libya,14600
Lithuania,33500
Luxembourg,95100
Madagascar,1520
Malawi,1210
Malaysia,30000
Maldives,14900
Mali,2140
Malta,40400
Marshall Islands,3650
Mauritania,4030
Mauritius,22700
Mexico,18100
"Micronesia, Fed. Sts.",3260
Moldova,6980
Monaco,62000
Mongolia,13200
Montenegro,18200
Morocco,7980
Mozambique,1210
Myanmar,6620
Namibia,9660
Nauru,13400
Nepal,3020
Netherlands,51200
New Zealand,36700
Nicaragua,4530
Niger,974
Nigeria,5300
North Korea,1710
North Macedonia,14400
Norway,67500
Oman,36000
Pakistan,5020
Palau,17700
Palestine,4680
Panama,24300
Papua New Guinea,3950
Paraguay,12300
Peru,13300
Philippines,8640
Poland,30900
Portugal,29800
Qatar,116000
Romania,26400
Russia,26200
Rwanda,2230
Samoa,6460
San Marino,57900
Sao Tome and Principe,3090
Saudi Arabia,48200
Senegal,3590
Serbia,17400
Seychelles,28500
Sierra Leone,1500
Singapore,90500
Slovak Republic,32900
Slovenia,34600
Solomon Islands,2170
Somalia,633
South Africa,12000
South Korea,38000
South Sudan,1950
Spain,36200
Sri Lanka,12400
St. Kitts and Nevis,29700
St. Lucia,12800
St. Vincent and the Grenadines,11400
Sudan,4540
Suriname,14100
Sweden,47400
Switzerland,59100
Syria,2910
Tajikistan,3230
Tanzania,3060
Thailand,17900
Timor-Leste,7010
Togo,1650
Tonga,6130
Trinidad and Tobago,28800
Tunisia,11300
Turkey,25500
Turkmenistan,18500
Tuvalu,3870
Uganda,1920
Ukraine,8770
United Arab Emirates,65300
United Kingdom,40700
United States,57500
Uruguay,21300
Uzbekistan,6790
Vanuatu,2910
Venezuela,9050
Vietnam,7350
Yemen,2330
Zambia,3650
Zimbabwe,2410
